OBJECTID,state,managing_agency,rights_type,state_enabling_act,,county,trust_name,activity,activity_info,township,range,section,aliquot,acres,gis_acres
208045,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: U.S. FARMING SOLUTIONS, LLC",9N,19W,3,LOT 7,13.020000000000000,13.019
208057,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,21W,4,LOTS 6 7 8 N2SW NWSE AND N2N2S2SW LY N OF PAT 7186 SWSE LY N OF PAT 7186 AND INTERSTATE 10,247.680000000000007,261.325
208058,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Lapaz,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,21W,6,LOTS 1 THRU 7 S2NE SENW E2SW SE,530.370000000000005,529.869
196282,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Maricopa,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3N,6E,1,LOTS 9 10 11,42.229999999999997,42.126
206737,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PENITENTIARY LAND FUND,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8S,23W,23,PRESENT COLORADO RIVER IN N2 AND ABANDONED COLORADO RIVER CHANNEL IN NW,158.159999999999997,166.222
206752,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PENITENTIARY LAND FUND,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8S,23W,24,ALL LY NLY OF LEFT BANK OF PRESENT COLORADO RIVER EX YIR IN N2NWNW AND W2 OF ABANDONED COLORADO RIVER CHANNEL IN W2NENW AND N2NWNW,321.850000000000023,328.79
206755,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PENITENTIARY LAND FUND,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8S,23W,15,L1 TO 4 S2SE,213.580000000000013,203.686
206756,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PENITENTIARY LAND FUND,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8S,23W,22,LOTS 1 2 3 7,177.330000000000013,123.16
207043,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,7S,11W,29,ALL,640.000000000000000,635.142
207357,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,NAVIGABLE STREAMBEDS,Agriculture,"layer_index: AZ-Surface Activities activity: Agriculture lease_status: Y lessee: Cha Cha, L.L.C. Et Al",8S,23W,13,SLD LEASE PARCEL 8,29.039999999999999,14.338
207359,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Yuma,NAVIGABLE STREAMBEDS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,8S,23W,22,COLORADO RIVERBED ADJACENT,49.399999999999999,93.516
194659,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Maricopa,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,1N,1W,36,M&B IN S2S2,85.189999999999998,84.112
194660,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Maricopa,PERM COMMON SCHLS,Commercial Lease,layer_index: AZ-Surface Activities activity: Commercial Lease lease_status: Y lessee: Phoenix International Raceway,1N,1W,36,M&B IN SESE SESESW,10.570000000000000,9.859
195919,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Maricopa,PERM CMN SCHLS (INDMTY SELEC),Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Christopher Dalley,2S,1W,13,ALL,640.000000000000000,639.821
200815,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,HSPTL-DISABLED MNRS 2/20/1929,Agriculture,layer_index: AZ-Surface Activities activity: Agriculture lease_status: Y lessee: Koepnick Family Farms,3S,8E,34,W2NWNW S2SW SESE M&B SENE SWNW N2SW W2SE NESE,314.240000000000009,319.6
200853,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,MINERS HSPTL-DISABLED MINERS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,8E,10,SE,160.000000000000000,160.576
200854,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,MINERS HSPTL-DISABLED MINERS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,8E,15,E2,320.000000000000000,323.372
200857,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,MINERS HSPTL-DISABLED MINERS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,5S,6E,15,N2,320.000000000000000,320.415
200909,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,NORMAL SCHOOL,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,8E,3,LOTS 1 2 S2NE SE,317.949999999999989,315.011
201091,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,2E,16,M&B IN N2N2 S2N2 S2,561.210000000000036,558.96
201092,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Commercial Lease,"layer_index: AZ-Surface Activities activity: Commercial Lease lease_status: Y lessee: Arizona Soaring, Inc.",4S,2E,16,W 2600FT E 4100FT N2N2,78.790000000000006,78.147
201093,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Agriculture,layer_index: AZ-Surface Activities activity: Agriculture lease_status: Y lessee: Troy Skousen Farms LLC,4S,3E,16,E2 M&B IN NW,336.420000000000016,345.962
201120,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,5S,6E,16,W2NW SENW SW W2SE AND W2NE SWSENE NENW E2SE LY SWLY OF (I-10) PAT 5714,515.580000000000041,519.43
201121,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Commercial Lease,layer_index: AZ-Surface Activities activity: Commercial Lease lease_status: Y lessee: Crown Atlantic Company LLC,5S,6E,16,M&B IN NWNE,6.340000000000000,6.203
201159,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,5S,6E,16,NENE AND NWNE NENESWNE SENE E2NESE LY NELY OF (I-10) PAT 5714,86.780000000000001,88.265
201160,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,3E,16,SWSWNW EX 53-94816-01 SW M&B IN NW,289.790000000000020,298.927
201174,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM COMMON SCHLS,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3S,8E,32,S2,320.000000000000000,320.678
201724,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PERM CMN SCHLS (INDMTY SELEC),Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,4S,2E,17,ALL,640.000000000000000,641.959
203016,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,SCHOOL OF MINES,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,5S,4E,12,ALL,640.000000000000000,636.856
203030,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,SCHOOL OF MINES,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,5S,4E,13,E2,320.000000000000000,316.237
203583,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PX-02 PRIVATE EXCHANGE,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3S,8E,31,E2,320.000000000000000,326.997
203585,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PX-02 PRIVATE EXCHANGE,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3S,8E,33,S2 LY SWLY OF C/L HUNT HWY AND NELY OF TRANSMISSION LINE RW IN W2W2SW EX CP 54-98687 IN S2SE,213.729999999999990,220.363
203586,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Pinal,PX-02 PRIVATE EXCHANGE,Unleased Parcels,layer_index: AZ-Surface Activities activity: Unleased Parcels lease_status: N lessee: ,3S,8E,33,W2W2W2SW LY SWLY OF TRANSMISSION LINE RW,5.980000000000000,6.187
190321,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,8,ALL,640.000000000000000,641.986
190322,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,10,M&B IN SEC N OF THE MIDDLE OF THE WATERCOURSE OF CLEAR CREEK CANYON,599.500000000000000,599.845
190323,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,13E,18,LOTS 1 THRU 12 NE W2SE LY NWLY FROM C/L OF STATE HIGHWAY 87 EX PAT 5630 LY IN SESE OF LOT 12,650.340000000000032,593.139
190324,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,18,LOTS 1 2 3 NE E2NW NESW W2W2NWSE NENWSE NWNWNESE LY N OF CLEAR CREEK CANYON,328.180000000000007,352.583
190325,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,6,LOTS 1 THRU 22 E2SW SE,1145.559999999999945,1135.455
190326,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,4,LOTS 1 THRU 20 S2,1119.960000000000036,1105.859
190329,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,AGRICULTURE & MECHANICAL CLLGE,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,13E,18,E2 SESESESE OF LOT 12 LY SELY FROM C/L OF STATE HIGHWAY 87,96.219999999999999,157.344
190405,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,MINERS HSPTL-DISABLED MINERS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,12,E2 LY SELY OF CLEAR CREEK CANYON,280.000000000000000,274.421
190406,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,MINERS HSPTL-DISABLED MINERS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,12,N2NENE W2NE W2NWNWSE LY NWLY OF CLEAR CREEK CANYON,40.000000000000000,51.879
190506,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,11E,2,LOTS 1 THRU 12 S2 EX CONDEMNATION 95-98643 LY IN SWSWSWSW,815.230000000000018,815.472
190508,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,12E,2,SWNW SW W2SE SESE AND LOTS 3 4 S2NE SENW NESE LY S FROM C/L OF RAILROAD,505.910000000000025,492.15
190512,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,11E,16,ALL,640.000000000000000,640.522
190519,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,12E,32,ALL,640.000000000000000,639.925
190520,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,10E,36,ALL,640.000000000000000,618.485
190521,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,11E,32,ALL,640.000000000000000,640.275
190522,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,20N,11E,36,ALL,640.000000000000000,640.07
190524,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,19N,12E,2,LOTS1 THRU 4 S2N2 S2,639.039999999999964,637.835
190526,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,19N,11E,2,ALL,640.000000000000000,640.686
190528,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Bar T Bar Ranch, Inc.",19N,14E,16,ALL,640.000000000000000,639.758
190532,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,19N,11E,16,ALL,640.000000000000000,640.805
190537,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,18N,14E,2,LOTS 1 THRU 4 S2N2 S2,675.200000000000045,674.41
190538,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Bar T Bar Ranch, Inc.",18N,13E,2,L 1 TO 4 S2N2 S2,673.399999999999977,672.962
190547,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,18N,14E,36,E2 S2NW SW AND N2NW LY SELY FROM C/L OF STATE HIGHWAY 87,626.429999999999950,622.914
190548,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,18N,14E,32,ALL,640.000000000000000,639.331
190549,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,18N,13E,32,E2NE SWNE SESW SE AND NWNE E2NW N2SW SWSW LY SELY OF FENCE,469.300000000000011,465.434
190550,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,18N,13E,36,ALL,640.000000000000000,638.952
190553,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Bar T Bar Ranch, Inc.",18N,13E,16,ALL,640.000000000000000,644.26
190557,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,19N,14E,32,ALL,640.000000000000000,639.168
190558,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Bar T Bar Ranch, Inc.",19N,13E,36,ALL,640.000000000000000,640.021
190561,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,13E,2,ALL,640.000000000000000,639.831
190567,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,13E,36,LOTS 1 THRU 4 N2S2 N2,612.960000000000036,612.809
190568,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,14E,32,LOTS 1 THRU 4 N2S2 N2,586.350000000000023,586.659
190571,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,14E,36,LOTS 1 THRU 4 N2S2 N2,595.159999999999968,580.14
190572,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,15E,16,W2E2E2 W2E2 W2 AND E2E2E2 LY W OF COUNTY LINE,596.360000000000014,595.046
190573,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,14E,16,ALL,640.000000000000000,640.74
190574,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,13E,16,ALL,640.000000000000000,638.924
190577,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,17N,14E,2,ALL,640.000000000000000,639.77
190584,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,13E,16,ALL,640.000000000000000,649.17
190585,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,15E,16,ALL,640.000000000000000,638.257
190586,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,16,ALL,640.000000000000000,632.574
190587,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,14E,2,LOTS 1 THRU 20 S2,1109.920000000000073,1110.175
190590,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,"layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Bar T Bar Ranch, Inc.",17N,12.5E,36,LOTS 1 THRU 4 N2N2,331.209999999999980,330.909
190591,AZ,State Land Department,Surface,36 Stat. 557-579 (1910),,Coconino,PERM COMMON SCHLS,Grazing Lease,layer_index: AZ-Surface Activities activity: Grazing Lease lease_status: Y lessee: Hopi Tribe,16N,13E,2,LOTS 1 THRU 16 S2,1003.159999999999968,1022.182
