OBJECTID,state,managing_agency,state_enabling_act,rights_type,county,township,range,section,aliquot,trust_name,activity,activity_info_2,net_acres,lease_status,LESSEE,gis_acres
103544,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,28,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,0.94,,N/A,0.944
103714,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,93,28,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: JEFFREY KENDALL VEIGEL,14.810000000000000,AC,JEFFREY KENDALL VEIGEL,14.816
103716,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,29,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,123.170000000000002,,N/A,123.171
103756,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,92,18,SE4,BANK OFÊNORTHÊDAKOTA,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: Multiple Lessees,80.000000000000000,PR,Multiple Lessees,160.215
103758,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,90,18,"E2NW4, LOTS 1,2",BANK OFÊNORTHÊDAKOTA,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: EOG RESOURCES INC,75.909999999999997,PR,EOG RESOURCES INC,153.3
103762,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,152,91,8,"S2SE4, LOTS 7,8",VALLEY CITY,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: WHITING OIL AND GAS CORPORATION,70.989999999999995,PR,WHITING OIL AND GAS CORPORATION,165.265
103783,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,33,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,19.320000000000000,,N/A,19.316
104127,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,7,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,139.000000000000000,,N/A,139.012
104128,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,7,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,85.900000000000006,,N/A,85.905
104131,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,8,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,159.280000000000001,,N/A,159.293
104132,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,8,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,49.090000000000003,,N/A,49.09
104133,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,9,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,11.830000000000000,,N/A,11.828
104134,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,9,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,62.570000000000000,,N/A,62.571
104205,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,87,33,"W2SW4, LOTS 7,8",BANK OFÊNORTHÊDAKOTA,,,51.729999999999997,,N/A,117.323
104215,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,9,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: NORRA RESOURCES LLC,22.510000000000002,AC,NORRA RESOURCES LLC,22.507
104216,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,10,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,144.969999999999999,,N/A,144.978
104217,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,32,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,107.790000000000006,,N/A,107.793
104218,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,32,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,,,103.560000000000002,,N/A,103.561
104219,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,92,32,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,36.689999999999998,PR,OASIS PETROLEUM NORTH AMERICA LLC,36.692
104220,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,152,93,32,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,60.479999999999997,PR,MARATHON OIL COMPANY,60.488
104246,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,148,90,6,"E2SW4, LOTS 6,7",COMMON SCHOOLS,,,74.700000000000003,,N/A,150.645
104249,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,148,88,6,"LOTS 1,2",BANK OFÊNORTHÊDAKOTA,,,25.800000000000001,,N/A,51.822
104526,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,93,26,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: ALAMEDA ENERGY INC,76.840000000000003,AC,ALAMEDA ENERGY INC,76.847
104928,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,32,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,19.640000000000001,,N/A,19.641
105098,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,92,32,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,147.990000000000009,PR,OASIS PETROLEUM NORTH AMERICA LLC,148.008
105099,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,152,93,32,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,3.240000000000000,PR,MARATHON OIL COMPANY,3.24
105505,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,93,6,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,128.120000000000005,PR,MARATHON OIL COMPANY,128.132
105849,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,7,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,0.49,,N/A,0.488
106239,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,35,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: ADVANTA RESOURCES LLC,122.280000000000001,AC,ADVANTA RESOURCES LLC,122.289
106240,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,91,35,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: LERAAS RESOURCES LLC,0.37,PR,LERAAS RESOURCES LLC,0.37
106256,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,91,36,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: Multiple Lessees,13.900000000000000,AC,Multiple Lessees,13.902
106457,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,33,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,123.099999999999994,,N/A,123.109
106458,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,33,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,162.039999999999992,,N/A,162.049
106459,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,152,93,33,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,71.319999999999993,PR,MARATHON OIL COMPANY,71.327
106546,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,91,36,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: VITESSE ENERGY LLC,158.340000000000003,PR,VITESSE ENERGY LLC,158.358
107141,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,94,36,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: PETROGULF CORPORATION,56.609999999999999,PR,PETROGULF CORPORATION,56.616
107143,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,1,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,158.020000000000010,,N/A,158.026
107144,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,147,91,1,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: ADVANTA RESOURCES LLC,100.170000000000002,AC,ADVANTA RESOURCES LLC,100.178
107145,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,92,1,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,"layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: XTO HOLDINGS, LLC",5.970000000000000,PR,"XTO HOLDINGS, LLC",5.971
107146,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,150,94,1,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,"layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: RIVERBEND OIL & GAS VI, LLC",148.500000000000000,PR,"RIVERBEND OIL & GAS VI, LLC",148.515
107147,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,151,94,1,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: BANDED ROCK LLC,0.07,PR,BANDED ROCK LLC,0.068
107148,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,2,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,105.920000000000002,,N/A,105.921
107149,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,91,2,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: NORTHERN OIL AND GAS INC,119.769999999999996,PR,NORTHERN OIL AND GAS INC,119.784
107150,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,92,2,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,69.930000000000007,PR,OASIS PETROLEUM NORTH AMERICA LLC,69.934
107151,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,3,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,9.550000000000001,,N/A,9.546
107152,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,3,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: Multiple Lessees,6.060000000000000,AC,Multiple Lessees,6.057
107153,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,92,3,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,10.550000000000001,PR,OASIS PETROLEUM NORTH AMERICA LLC,10.55
107154,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,4,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: AMERICAN LAND SERVICES LLC,1.380000000000000,PR,AMERICAN LAND SERVICES LLC,1.385
107156,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,5,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,59.600000000000001,,N/A,59.605
107246,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,148,91,36,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: IRON HORSE ROYALTIES LLC,8.779999999999999,AC,IRON HORSE ROYALTIES LLC,8.776
107765,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,35,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,37.500000000000000,,N/A,37.497
107935,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,36,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,108.120000000000005,,N/A,108.12
108579,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,148,91,10,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: NORRA RESOURCES LLC,132.159999999999997,AC,NORRA RESOURCES LLC,132.166
108580,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,11,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,134.860000000000014,,N/A,134.871
108593,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,9,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,52.340000000000003,,N/A,52.344
108808,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,10,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,91.840000000000003,,N/A,91.849
109185,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,6,MISSOURI RIVER IN SE4,SOVEREIGNÊLANDS,,,158.979999999999990,,N/A,158.991
109295,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,90,8,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,64.230000000000004,,N/A,64.23
109395,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,91,11,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: OASIS PETROLEUM NORTH AMERICA LLC,43.799999999999997,PR,OASIS PETROLEUM NORTH AMERICA LLC,43.807
109639,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,148,91,26,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: Multiple Lessees,115.510000000000005,AC,Multiple Lessees,115.522
109823,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,8,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,159.349999999999994,,N/A,159.359
109836,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,146,88,20,NE4,BANK OFÊNORTHÊDAKOTA,,,53.329999999999998,,N/A,159
109997,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,89,9,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,,,119.349999999999994,,N/A,119.356
110316,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,150,87,33,"NW4SW4, LOT 7",BANK OFÊNORTHÊDAKOTA,Oil and gas lease,"layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: THE TRIPLE T, INC.",25.660000000000000,AC,"THE TRIPLE T, INC.",53.502
110329,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,89,1,"S2NW4, LOTS 3,4",COMMON SCHOOLS,,,80.000000000000000,,N/A,161.203
110331,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,6,"S2NE4, LOTS 1,2",COMMON SCHOOLS,,,80.000000000000000,,N/A,159.656
110335,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,89,6,SE4 LESS 15.02 AC PREV DEEDED,COMMON SCHOOLS,,,72.489999999999995,,N/A,160.182
110337,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,5,"S2NW4, LOTS 3,4",COMMON SCHOOLS,,,79.969999999999999,,N/A,158.411
110339,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,5,"S2NE4, LOTS 1,2",COMMON SCHOOLS,,,79.909999999999997,,N/A,160.148
110342,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,4,"S2NW4, LOTS 3,4",COMMON SCHOOLS,,,79.920000000000002,,N/A,160.496
110345,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,89,4,SW4,BANK OFÊNORTHÊDAKOTA,,,80.000000000000000,,N/A,159.91
110346,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,4,"S2NE4, LOTS 1,2",COMMON SCHOOLS,,,80.000000000000000,,N/A,159.889
110456,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCLEAN,149,88,3,"S2NW4, LOTS 3,4",BANK OFÊNORTHÊDAKOTA,,,80.030000000000001,,N/A,159.279
110459,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,91,27,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: Multiple Lessees,70.019999999999996,PR,Multiple Lessees,70.027
110460,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,150,91,26,MISSOURI RIVER IN NW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: NORTHERN OIL AND GAS INC,97.430000000000007,PR,NORTHERN OIL AND GAS INC,97.443
110461,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,DUNN,149,92,4,MISSOURI RIVER IN NE4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: Multiple Lessees,56.009999999999998,PR,Multiple Lessees,56.012
110477,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,93,29,SW4,ELLENDALE,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,80.000000000000000,PR,MARATHON OIL COMPANY,159.462
110479,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,WARD,151,87,20,NE4,BANK OFÊNORTHÊDAKOTA,Oil and gas lease,"layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: AC lessee: THE TRIPLE T, INC.",8.000000000000000,AC,"THE TRIPLE T, INC.",159.353
110577,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MCKENZIE,152,93,32,MISSOURI RIVER IN SW4,SOVEREIGNÊLANDS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,138.870000000000005,PR,MARATHON OIL COMPANY,138.892
110579,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,87,33,MISSOURI RIVER IN SW4,SOVEREIGNÊLANDS,,,3.230000000000000,,N/A,3.234
110580,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MERCER,147,88,33,MISSOURI RIVER IN SW4,SOVEREIGNÊLANDS,,,152.849999999999994,,N/A,152.852
110596,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,93,26,SE4,COMMON SCHOOLS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: MARATHON OIL COMPANY,80.000000000000000,PR,MARATHON OIL COMPANY,160.053
110606,ND,Commissioner of University and School Lands,"25 Stat. 676-684, esp. 679-81 (1889)",Subsurface,MOUNTRAIL,151,91,26,NE4,COMMON SCHOOLS,Oil and gas lease,layer_index: ND-Oil and gas lease activity: Oil and gas lease lease_status: PR lessee: EOG RESOURCES INC,80.000000000000000,PR,EOG RESOURCES INC,159.795
