OBJECTID,PARCELID,GISACRES,L_ACRES,OWNERTYPE,SUB_ENDOWM,SUB_ENDO_1,SURMIN,RESTRICTIO,RESTRICT_1,created_us,created_da,last_edite,last_edi_1,SHAPE.STAr,SHAPE.STLe,GlobalID
1083091,PN25159,1.880000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,7597.919899405000251,884.889760077879373,{636E9C97-6517-4F84-B655-A11885CF5AC0}
1083092,PN25164,1.090000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,4396.663679860000229,731.019558592031672,{52CB0B7A-6D3C-4186-9B20-D8983B1A1302}
1083618,PN22017,940.850000000000023,940.889999999999986,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",Federal subsurface OC. All other minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3807510.706650529988110,8953.788033761904444,{50281050-9D72-42B5-9B31-382FEBD49329}
1083797,PN24130,1.670000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,6752.139756984999622,928.274286203058978,{EC68DCDA-AA84-4154-A833-10700F2BB232}
1083799,PN24178,586.759999999999991,588.070000000000050,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2374552.723014125134796,7131.448334970505130,{B22ED210-EF34-4C2A-B175-13E05795798D}
1083805,PN24358,79.150000000000006,80.000000000000000,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,320299.733547620067839,2398.468178626433200,{1CE71D6A-E887-4ECE-918C-BE3F27DFADFE}
1083811,PN24501,39.880000000000003,40.000000000000000,Beneficiary: IDL Endowment,"2",Agricultural College,"4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,161389.010462310019648,1606.943778916378051,{75F4D7A8-8574-4EAC-BB97-6FF6219D6395}
1083833,PN25150,0.520000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2118.865609304999907,531.015039800570776,{FD26A0B6-3DFB-4C02-8CA9-4EF52F97FB6F}
1084354,PN22070,1.660000000000000,1.710000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,6734.117014060000656,1177.042468390724252,{F665C2F8-7C65-42B3-8C31-D478EB8AEACF}
1084476,PN23552,49.259999999999998,,Beneficiary: IDL Endowment,"10",General Fund,"4","3",Federal subsurface OC. All other minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,199366.748741290008184,1955.544659069983709,{27DC1F65-1A2B-4349-B2CF-8EF0D9D0ED97}
1084508,PN24113,281.089999999999975,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1137516.290883590001613,4797.829750294160476,{783C558A-E497-47E8-A14A-25ED9195C867}
1084509,PN24115,105.939999999999998,106.819999999999993,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,428733.613454554928467,2796.523071217449342,{8EE085F8-3ECF-429E-8C9F-408478777AAB}
1084510,PN24171,4.660000000000000,4.700000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,18854.452577089999977,586.659179977544682,{FDA39F89-8834-459D-B721-83292193015B}
1084511,PN24185,20.000000000000000,20.000000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,80951.212589820002904,1206.990502530066578,{EAF0F8A8-B0D7-4A46-A299-14BFA16B53C9}
1084524,PN24344,79.590000000000003,80.000000000000000,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,322079.792614104982931,2406.831129777168826,{FCC2BB6E-9049-496D-BA3E-B25E9DA2A997}
1084568,PN25125,0.910000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3685.114917140000216,650.724802866517734,{A3C06C3E-CCE0-44AD-B81F-5D8997327F37}
1085032,PN21913,1.100000000000000,,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,4459.663081394999608,331.546666018911537,{B1D5FBFB-4D06-4563-AF3E-74046B83F3BD}
1085035,PN21957,240.960000000000008,240.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,975143.519027745001949,5641.034047025455948,{69CED6D8-279A-4D7D-8F31-D28A257180A0}
1085166,PN23546,0.370000000000000,1.000000000000000,Beneficiary: IDL Endowment,"10",100.00% General Fund,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1496.187392529999897,149.329718691471925,{C94D8799-D021-4CA1-A031-86C049073EF7}
1085208,PN24141,24.890000000000001,24.410000000000000,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,100716.259083715005545,1507.336205996908348,{4AB0914F-EE51-45DC-A788-A94127CA526D}
1085210,PN24161,137.419999999999987,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,556108.831966805038974,4270.403369203349939,{35CC4C84-E33F-4935-80FC-17CA067B9471}
1085222,PN24502,137.090000000000003,,Beneficiary: IDL Endowment,"2",Agricultural College,"4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,554787.080690194969065,3670.999792315590184,{CDBA9906-4AFF-4A4E-8117-92BA93629DF8}
1085250,PN25113,0.810000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3283.100849774999915,464.118294700829495,{8B02157B-1172-4168-9764-2EE482161EA2}
1085251,PN25130,1.730000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,7009.482413779999661,599.335304521090961,{4EA9C92C-4E04-47CA-93C3-C630CDA28838}
1085252,PN25132,0.460000000000000,,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1875.625269054999990,346.763599260714216,{E98C7975-BF07-4390-B0CB-17E41CE0D795}
1085253,PN25135,0.020000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,61.910594685000000,89.520012025542783,{C7C67E21-A39B-4829-A640-CC0304F7A694}
1085254,PN25148,0.740000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3010.038410650000060,630.788876689033032,{3CB134BF-BF53-44AF-AB36-AFE30EB9B9CB}
1085255,PN25155,0.680000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2739.649316619999809,336.136607413581032,{BFA9795F-3AB1-447D-BE81-B6D9FEC7C4D2}
1085256,PN25163,0.910000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3698.837823440000193,577.862272504813177,{ED9CFF09-BA5C-47A0-A8C6-B3AADE14C020}
1085879,PN23491,160.520000000000010,160.000000000000000,Beneficiary: IDL Endowment,"8",100.00% University of Idaho,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,649587.273874304955825,4021.298011742308518,{F2A38F73-E6BB-41CA-9D8C-759C9A913C75}
1085900,PN23852,1.270000000000000,1.260000000000000,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,5127.991058710000289,388.865762923155160,{30D82B8C-6656-4748-A63D-DBBCDBF17E3B}
1085926,PN24159,0.140000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,558.980244934999973,97.653473866877235,{C8460E7C-F01C-41CF-8F2A-D14216B043F9}
1085927,PN24164,131.830000000000013,131.500000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,533501.189174009952694,2808.455886890072179,{1483F8B1-856B-4391-B7DB-8FE21617B6FD}
1085928,PN24174,606.879999999999995,604.850000000000023,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2455952.965874085202813,6578.525795314247262,{1064CE75-AF85-45E2-9FA7-D1D1787A6EF2}
1085929,PN24182,207.280000000000001,217.199999999999989,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,838855.263181759975851,5162.974901087393846,{6093405F-FB70-441C-816B-4D3407512E50}
1085930,PN24183,38.189999999999998,38.100000000000001,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,154534.970403374987654,2529.742210243312456,{C72CEE62-084E-4330-A481-BC9BC6922F98}
1085931,PN24184,14.039999999999999,14.010000000000000,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,56813.793164745002287,1995.268894033750939,{E38ACDD9-5791-46AF-A33D-0FC7AAC6A83B}
1085943,PN24348,39.789999999999999,40.000000000000000,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,161045.062058350013103,1605.235625178990404,{0C2D60E7-ED4A-44A5-B7E1-2EDB98AEC009}
1085944,PN24355,29.359999999999999,,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,118812.740606754989130,1454.044962943283053,{7E69E780-565A-4267-9703-DFC460B559A2}
1085945,PN24359,5.850000000000000,5.870000000000000,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,23664.533727409998392,713.828465935848953,{699DD77D-72EA-4311-BCD4-5F87520719D8}
1085946,PN24360,338.550000000000011,337.670000000000016,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1370081.786845565075055,5761.519074638017628,{4154B8B7-7D4A-4EF0-B20D-4C3C3F38B8F7}
1085983,PN25117,0.000000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3.264990215000000,13.540004421405150,{8E604427-1047-4DD5-83D6-9CC6437AAB28}
1085984,PN25138,4.380000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,17722.648791830000846,2000.626914776778676,{F5DA208D-AFEF-4EAC-83D3-279911BA611C}
1085985,PN25152,0.000000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1.385014760000000,11.544416308091265,{41A9E319-0999-42DB-AAA5-094983C5BEBD}
1085986,PN25154,0.640000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2601.285159690000000,414.834172373142508,{1F9E42C9-8407-4104-A401-ACA3203AF439}
1086040,PN22001,644.960000000000036,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2610072.771798625122756,6462.347465138517691,{5EE39310-434B-4C92-85BE-57AD51A2185C}
1086044,PN22008,642.120000000000005,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2598567.650022469926625,6448.037117303450032,{6957D10C-0168-4484-A996-321AF23ACAF5}
1086045,PN22009,643.090000000000032,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2602493.835380615200847,6453.937782705606878,{E3F6D488-CEEE-4C51-BE85-04E77EF53491}
1086046,PN22010,1.010000000000000,,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,4100.136985170000116,331.386265635065399,{3F5F7FC1-A462-451E-80F6-37281F98CA32}
1086047,PN22011,7.120000000000000,,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,28805.168472279998241,1166.838020597900595,{D6ADBC9B-90A1-40E0-B181-2CD41AAC3EF7}
1086048,PN22012,585.110000000000014,,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2367845.491351544857025,7366.501762850875821,{EF87BFCB-8F18-4283-9B8B-FEAE0AAAD149}
1086051,PN22018,789.210000000000036,794.779999999999973,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",Federal subsurface OC. All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,3193844.841117095202208,11422.483256231163978,{ECDCAE97-542E-45E8-93A2-1B454CF84CBF}
1086052,PN22019,645.080000000000041,640.360000000000014,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2610563.800166449975222,6460.320374318945142,{7AA44129-4C0A-4212-8DB2-45A1E8734751}
1086054,PN22021,257.029999999999973,257.290000000000020,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","3",Federal subsurface OC. All other minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1040166.693098725052550,5016.118467172281271,{D10CA082-E6BD-4DA4-88F0-474D6CDBF65F}
1086056,PN22024,630.080000000000041,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2549859.776554774958640,6398.284045050102577,{B2E1FEF9-3720-4840-8D89-786EAA029D1C}
1086057,PN22025,633.679999999999950,640.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2564422.044383069965988,6409.165773034246740,{ACCBD36A-5937-41DC-AF71-D382E60792BA}
1086058,PN22026,240.210000000000008,240.000000000000000,Beneficiary: IDL Endowment,"1","100.00% Public School (Indemnity, Schools, Common Schools)","3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,972097.615192249999382,4829.527033758535254,{F9C8E5E5-C846-4328-B860-F89B1833AFE6}
1086610,PN23528,568.090000000000032,528.990000000000009,Beneficiary: IDL Endowment,"9",100.00% Capitol Permanent (Public Building),"3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2299001.445070724934340,6159.102626907157173,{0F8CF6A4-0BAF-4CD8-B284-D4B5E168C9C1}
1086634,PN23867,200.669999999999987,199.250000000000000,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,812095.912352964980528,5789.869998602316628,{7057468D-A9FC-4761-A9D1-C9FCA3A11A1C}
1086653,PN24117,80.099999999999994,80.000000000000000,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,324148.163702410005499,2413.613673747463054,{0DA15348-68B8-4A68-AC81-4E326B12925A}
1086654,PN24173,338.759999999999991,337.899999999999977,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,1370928.988915954949334,4921.617590992859732,{04D71B9A-CC2C-402C-8F6B-6B11E14A9A97}
1086667,PN24352,520.100000000000023,520.000000000000000,Beneficiary: IDL Endowment,"1","Public School (Indemnity, Schools, Common Schools)","4",,,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,2104790.198371259961277,7243.044614345402806,{85B1EE62-F394-441F-A628-F53BA0D38681}
1086709,PN25143,0.010000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,51.516549075000000,46.485796007443582,{15FF5637-B5BC-4634-A5A0-733D3E926507}
1086710,PN25149,0.030000000000000,,Beneficiary: Other State Agency,"17",Dept. of Parks and Recreation,"4","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,134.131113989999989,61.803791798964561,{A55D42E0-E8DE-4744-8D0C-970DD74C9D01}
1086711,PN25162,0.000000000000000,,Beneficiary: Other State Agency,"17",100.00% Dept. of Parks and Recreation,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,19.678317105000001,35.119398317657541,{2E794059-B4A7-479E-934B-5C64F00765AC}
1086931,PN23551,19.289999999999999,20.969999999999999,Beneficiary: IDL Endowment,"10",General Fund,"4","3",Federal subsurface OC. All  other minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,78074.347618885003612,1163.093192068122789,{D094C1F8-66E5-454B-BB4B-02770EDABB4C}
1086935,PN23558,2.070000000000000,,Beneficiary: IDL Endowment,"11",100.00% Forest Purposes (Dept. of Forestry),"3","3",All minerals owned by the state.,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,8378.267963189999136,366.131958810331639,{28F4B55F-1981-44B9-9346-E0D8F0496F8F}
1087114,PN23849,63.549999999999997,,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,257169.113689540012274,2508.784553281195713,{D783DB44-9D2B-4633-A2C6-95B6BC6DDCD8}
1087115,PN23850,195.699999999999989,,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,791980.533499925048091,5456.526920377837996,{D1B4CBBD-A27C-4219-A339-D8EEB6E9F85C}
1087116,PN23851,35.609999999999999,,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,144110.386284484993666,1534.196755534985186,{F8CDF928-7515-494B-8BB6-BA96D52500B0}
1087117,PN23853,104.000000000000000,105.359999999999999,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,420870.856843999994453,3268.592774378636477,{FC638690-5943-4B75-B50A-FA8A761592AA}
1087118,PN23854,2.550000000000000,2.500000000000000,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,10311.685355645000527,733.548896418073355,{1BCC87E0-E67E-4B1A-9753-E167331F480D}
1087126,PN23868,80.170000000000002,80.000000000000000,Beneficiary: Other State Agency,"15",100.00% Dept. of Fish and Game,"3","0",None,GISDATAOWNER,2023/12/13 22:07:27.000,GISDATAOWNER,2023/12/13 22:07:27.000,324425.051484194991644,2416.226440043927141,{6E27EE81-7DA5-4118-A34C-539D52D5631A}
